Year,Month,GEO,Product Category,Products,VALUE,Taxable,Total tax rate,Value after tax,Essential,COORDINATE,UOM,Month_num,Date
2019,January,Province 7,Grains & Bakery,"White rice, 2 kilograms",6.92,No,13.0,6.92,Essential,6.94,Dollars,1,2019-01-01
2019,January,Province 7,Grains & Bakery,"Cereal, 400 grams",3.01,No,13.0,3.01,Non-Essential,6.58,Dollars,1,2019-01-01
2019,January,Province 7,Grains & Bakery,"Wheat flour, 2.5 kilograms",4.79,No,13.0,4.79,Essential,6.59,Dollars,1,2019-01-01
2019,January,Province 7,Cooking Essentials,"White sugar, 2 kilograms",1.89,No,13.0,1.89,Essential,6.6,Dollars,1,2019-01-01
2019,January,Province 7,Fruits,"Apple juice, 2 litres",2.57,No,13.0,2.57,Essential,6.61,Dollars,1,2019-01-01
2019,January,Province 7,Fruits,"Orange juice, 2 litres",3.3,No,13.0,3.3,Essential,6.62,Dollars,1,2019-01-01
2019,January,Province 7,Beverages,"Roasted or ground coffee, 340 grams",5.13,No,13.0,5.13,Non-Essential,6.63,Dollars,1,2019-01-01
2019,January,Province 7,Beverages,Tea (20 bags),3.34,No,13.0,3.34,Non-Essential,6.64,Dollars,1,2019-01-01
2019,January,Province 7,Cooking Essentials,"Ketchup, 1 litre",3.35,No,13.0,3.35,Essential,6.65,Dollars,1,2019-01-01
2019,January,Province 7,Cooking Essentials,"Vegetable oil, 3 litres",3.84,No,13.0,3.84,Essential,6.66,Dollars,1,2019-01-01
2019,January,Province 7,Cooking Essentials,"Canola oil, 3 litres",7.23,No,13.0,7.23,Essential,6.95,Dollars,1,2019-01-01
2019,January,Province 7,Cooking Essentials,"Olive oil, 1 litre",7.96,No,13.0,7.96,Essential,6.96,Dollars,1,2019-01-01
2019,January,Province 7,Infant & Baby Products,"Baby food, 128 millilitres",1.32,No,13.0,1.32,Essential,6.67,Dollars,1,2019-01-01
2019,January,Province 7,Infant & Baby Products,"Infant formula, 900 grams ",30.23,No,13.0,30.23,Essential,6.97,Dollars,1,2019-01-01
2019,January,Province 7,Dairy & Eggs,"Peanut butter, 1 kilogram",4.72,No,13.0,4.72,Essential,6.68,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Mayonnaise, 890 millilitres ",4.43,Yes,13.0,5.01,Non-Essential,6.69,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Canned baked beans, 398 millilitres",1.2,No,13.0,1.2,Essential,6.7,Dollars,1,2019-01-01
2019,January,Province 7,Vegetables,"Canned tomatoes, 796 millilitres",1.3,No,13.0,1.3,Essential,6.71,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Canned soup, 284 millilitres",0.98,No,13.0,0.98,Essential,6.72,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Canned beans and lentils, 540 millilitres",1.13,No,13.0,1.13,Essential,6.73,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Canned corn, 341 millilitres",1.05,No,13.0,1.05,Essential,6.98,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Canned peach, 398 millilitres",2.2,No,13.0,2.2,Essential,6.99,Dollars,1,2019-01-01
2019,January,Province 7,Fruits,"Canned pear, 398 millilitres",2.19,No,13.0,2.19,Essential,6.1,Dollars,1,2019-01-01
2019,January,Province 7,Legumes & Dry Goods,"Dried lentils, 900 grams",3.18,No,13.0,3.18,Essential,6.74,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Dry beans and legumes, 900 grams ",2.86,No,13.0,2.86,Essential,6.101,Dollars,1,2019-01-01
2019,January,Province 7,Legumes & Dry Goods,"Tofu, 350 grams ",2.15,No,13.0,2.15,Essential,6.102,Dollars,1,2019-01-01
2019,January,Province 7,Legumes & Dry Goods,"Hummus, 227 grams",3.24,No,13.0,3.24,Essential,6.103,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Salsa, 418 millilitres",3.13,Yes,13.0,3.54,Non-Essential,6.104,Dollars,1,2019-01-01
2019,January,Province 7,Grains & Bakery,"Pasta sauce, 650 millilitres",2.03,No,13.0,2.03,Essential,6.105,Dollars,1,2019-01-01
2019,January,Province 7,Canned & Jarred Goods,"Salad dressing, 475 millilitres",2.5,Yes,13.0,2.82,Non-Essential,6.106,Dollars,1,2019-01-01
2019,January,Province 7,Nuts & Snacks,"Almonds, 200 grams",5.15,No,13.0,5.15,Non-Essential,6.107,Dollars,1,2019-01-01
2019,January,Province 7,Nuts & Snacks,"Peanuts, 450 grams",2.85,No,13.0,2.85,Non-Essential,6.108,Dollars,1,2019-01-01
2019,January,Province 7,Nuts & Snacks,"Sunflower seeds, 400 grams ",4.03,No,13.0,4.03,Non-Essential,6.109,Dollars,1,2019-01-01
2019,January,Province 7,Toiletries & Cleaning,"Deodorant, 85 grams",4.86,Yes,13.0,5.49,Essential,6.75,Dollars,1,2019-01-01
